Frequency [Hz],Re(Z) [mA/cm2],Im(Z) [mA/cm2]
26326.546437082467,-0.10394653663481077,0.49515182300743577
22682.298958918305,-0.15631991976734932,0.5729299008254745
19540.706305328513,-0.20535746672102595,0.6119194221108762
16838.93662324129,-0.27175497256133724,0.6818514529249661
14514.158059584845,-0.35256528536370585,0.750642452284087
12503.538761287376,-0.43345354644732403,0.7985757752849176
10807.078728348888,-0.5625512142205431,0.8898418749733736
9299.114254625787,-0.6619557140253626,0.9117305061480662
7979.645340118074,-0.7906769861199724,0.948451280062732
6911.503837897545,-0.9554121969691287,0.9985840323612364
5943.893300591889,-1.079449115199974,0.9754387631351139
5120.796025351363,-1.2541810212274958,0.9621732590277488
4410.79608564007,-1.4249381349103438,0.9307390112661882
3801.3271108436497,-1.552314681974541,0.845120759801887
3273.5395450405645,-1.717909392547681,0.7763957911453733
2821.1502029236344,-1.8320498377441647,0.649946931353952
2431.5927138785,-1.913538638343685,0.5138125755329428
2092.300707290802,-1.9894807350429276,0.3546765479735873
1803.2741831605413,-2.046168249531833,0.2073751139601428
1551.9467708733578,-2.058960973612129,0.05344820867414645
1338.3184704292519,-2.0599808923892953,-0.11028958652420137
1156.1060965210438,-1.9867023162982973,-0.2471687306614422
992.7432785343747,-1.969693821240306,-0.4163689332031244
854.5132017764238,-1.8737566768851976,-0.5397220914265122
741.4158662471912,-1.754301497881512,-0.6553716560052503
634.6017160251382,-1.6430800797794676,-0.760236168089689
547.89375878606,-1.5080854597901705,-0.8348937271903578
472.4955350999049,-1.3480386128195263,-0.892355068719838
407.15040790523716,-1.2156383978458785,-0.9224778922353807
350.6017401406209,-1.0562840577673007,-0.9402550588109554
302.22121327533813,-0.9178278258791538,-0.9333950862714645
260.12387171723486,-0.7795573971545968,-0.9068953843319653
224.30971546631125,-0.6392172680983238,-0.8527488030908408
193.52210746113127,-0.5347906623485128,-0.812014811918086
166.50441064025904,-0.4446077954703806,-0.745123589709294
143.25662500369458,-0.35350806165145676,-0.6838132032263396
123.77875055143784,-0.28712482276583884,-0.6112878167577499
106.185831691335,-0.22510770824501844,-0.5495963184653717
91.73450548482195,-0.18378969325868322,-0.4904941973583629
79.16813487046278,-0.14303627929408594,-0.43317369188768823
67.85840131753953,-0.11240624466991733,-0.38027859686140414
58.68495076905734,-0.09464918562108078,-0.3395504029690145
50.57964172279567,-0.07519827614159051,-0.28691116763702973
43.54247417875453,-0.05978726483686896,-0.26442282607792916
37.51061628386213,-0.043374903463859894,-0.23035275129989238
32.358404331974874,-0.03271406821101436,-0.19135410845762882
27.834510910805566,-0.030573974438980345,-0.17203760049582237
24.00176787342602,-0.027507256674634054,-0.14857618522457494
20.67167966062084,-0.022656959484787794,-0.12545774991925437
17.844246272390023,-0.01733463916354013,-0.11160080498033416
15.33097214951819,-0.006104312449445211,-0.09946460200098214
13.257520998148927,-0.01470235891425155,-0.0864339700063821
11.37256540599505,-0.01194208618110246,-0.08441075804494658
